Symbol,Security,GICS Sector,GICS Sub Industry,Market cap
MMM,3M Company,Industrials,Industrial Conglomerates,79773941760
ABT,Abbott Laboratories,Health Care,Health Care Equipment,159001935872
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,159861850112
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,8323008512
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,117302018048
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,56954249216
ADBE,Adobe Inc.,Information Technology,Application Software,176001892352
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,63478501376
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,8709423104
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,7812657152
AFL,AFLAC Inc,Financials,Life & Health Insurance,23670589440
A,Agilent Technologies Inc,Health Care,Health Care Equipment,25264424960
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,50363772928
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,15917456384
ALK,Alaska Air Group Inc,Industrials,Airlines,3141853440
ALB,Albemarle Corp,Materials,Specialty Chemicals,6522670592
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,17847758848
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,22511106048
ALGN,Align Technology,Health Care,Health Care Supplies,16041660416
ALLE,Allegion,Industrials,Building Products,8570945536
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,1818436992
LNT,Alliant Energy Corp,Utilities,Electric Utilities,11464709120
ALL,Allstate Corp,Financials,Property & Casualty Insurance,29960382464
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,937029730304
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,937623683072
MO,Altria Group Inc,Consumer Staples,Tobacco,67997761536
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,1201940463616
AMCR,Amcor plc,Materials,Paper Packaging,14327403520
AEE,Ameren Corp,Utilities,Multi-Utilities,16976226304
AAL,American Airlines Group,Industrials,Airlines,3822961920
AEP,American Electric Power,Utilities,Electric Utilities,38868574208
AXP,American Express Co,Financials,Consumer Finance,66184802304
AIG,American International Group,Financials,Property & Casualty Insurance,22798372864
AMT,American Tower Corp.,Real Estate,Specialized REITs,101774188544
AWK,American Water Works Company Inc,Utilities,Water Utilities,21317269504
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,14922668032
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,17441808384
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,18260492288
AMGN,Amgen Inc.,Health Care,Biotechnology,141296926720
APH,Amphenol Corp,Information Technology,Electronic Components,24355035136
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,37484797952
ANSS,ANSYS,Information Technology,Application Software,21735239680
ANTM,Anthem,Health Care,Managed Health Care,70110937088
AON,Aon plc,Financials,Insurance Brokers,44292059136
AOS,A.O. Smith Corp,Industrials,Building Products,6511667200
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,4004489472
